,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o
25,25,25,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,215,,,,mean_reciprocal_rank_filtered_with_test,0.2362369568897918,25,36e9d58e,1024.0,Adagrad,0.3832748377992566,9.0,32.0,normal_,0.0015340502045796,-0.9819889249227756,lp,True,3.7933864156665695e-06,1.3878606115398018e-17,0.0272449469193816,-0.0089874072000384,[],[]
26,26,26,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2733826431957513,26,9faa66ee,128.0,Adam,0.0026770927843193,0.0,128.0,xavier_normal_,0.5962171311403016,-0.4911029723425116,lp,False,4.584503473856248e-13,8.63299388616651e-08,-0.2278623385354876,0.4808502187952399,[],[]
27,27,27,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.214630114770459,27,83d5c8cc,1024.0,Adagrad,0.0364546557514616,9.0,128.0,uniform_,0.0004013716268694,-0.7444951231499761,lp,False,4.615476890356094e-16,0.0007660077140161,0.4624403044581413,-0.2214630339294672,[],[]
28,28,28,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,265,,,,mean_reciprocal_rank_filtered_with_test,0.208984959767964,28,f8a29eff,128.0,Adam,0.001549792504738,2.0,16.0,xavier_uniform_,0.085967021675666,-0.2199190548985544,,True,4.941404426405037e-09,4.718096160600108e-13,-0.2922185119241476,0.2574127577245235,[],[]
29,29,29,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,135,,,,mean_reciprocal_rank_filtered_with_test,0.1922102224123182,29,b8ffd46e,512.0,Adam,0.3342542346851078,3.0,512.0,uniform_,1.813813977710967e-05,-0.3152430621862039,lp,True,1.682696252126999e-15,3.625901481428493e-20,-0.0445684166625142,-0.3862913297489285,[],[]
30,30,30,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1325662848410322,30,66740f63,256.0,Adagrad,0.0142165850331522,7.0,64.0,normal_,0.0086370039411245,-0.8375312867685873,lp,False,0.0010335520421323,5.826349985884678e-11,0.2178418645635247,0.1082762042060494,[],[]
31,31,31,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,210,,,,mean_reciprocal_rank_filtered_with_test,0.1496849214517393,31,d38ce268,1024.0,Adam,0.4820685060738576,2.0,256.0,uniform_,0.0750999766277127,-0.2095062797391507,lp,True,7.703438600386397e-16,1.113211484389586e-09,0.1267083371058106,0.1794818928465247,[],[]
32,32,32,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1896980731617122,32,8d1dc292,128.0,Adagrad,0.003369772323864,9.0,32.0,normal_,0.0006558083465232,-0.701093175932467,,False,0.0006465765593612,1.7651169979914757e-19,-0.1123559968546032,-0.3306659562513232,[],[]
33,33,33,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,370,,,,mean_reciprocal_rank_filtered_with_test,0.2931372745580268,33,3b68a58b,512.0,Adagrad,0.0523941680074876,7.0,512.0,normal_,0.0098605263059573,-0.8575137750706542,lp,False,1.820724801199248e-16,2.099564966854596e-12,-0.3648278843611479,0.4672960210591554,[],[]
34,34,34,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.211138994332763,34,44093ce8,256.0,Adam,0.0003657128342232,2.0,32.0,xavier_normal_,1.101000266578324e-05,-0.3647357534301653,lp,True,2.779978597411122e-09,0.0133877297334266,0.381987914443016,-0.0584215000271797,[],[]
35,35,35,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.2190214437197034,35,351adeeb,512.0,Adagrad,0.2494628086451762,6.0,64.0,uniform_,0.0164924419248681,-0.6189212881423812,lp,True,3.4123076950544536e-06,5.411561774337995e-07,-0.1796669093891978,0.302208230830729,[],[]
36,36,36,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,370,,,,mean_reciprocal_rank_filtered_with_test,0.2479968355699315,36,7cecaf7e,256.0,Adam,0.0105994725752351,5.0,512.0,uniform_,0.0001764444196426,-0.0963593617682344,,False,1.4597385649275768e-13,3.411110385456247e-16,0.0676583936437964,-0.2032702313736081,[],[]
37,37,37,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,370,,,,mean_reciprocal_rank_filtered_with_test,0.1912046999750499,37,da900d52,1024.0,Adam,0.0451281259814991,0.0,16.0,xavier_uniform_,0.8212417997279616,-0.4388046738218423,lp,False,8.075842559814348e-07,9.464446203923889e-14,0.3162240739911794,0.0900834165513515,[],[]
38,38,38,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0006869557306982,38,c7b139ea,128.0,Adagrad,0.0019202315459919,10.0,128.0,uniform_,0.0007828606155264,-0.9631070402815006,lp,True,6.267821254387041e-19,0.0001485075781827,-0.4232276938855648,-0.4310868177562952,[],[]
39,39,39,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.2159159777543128,39,b402230c,512.0,Adam,0.0087869324362798,8.0,128.0,xavier_uniform_,0.0028651426142832,-0.7784824171575904,,False,3.7711152976576195e-12,4.118803443554408e-18,0.0023836093023419,0.2135175932198763,[],[]
