,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,train.loss_arg
27,27,27,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,260,,,,mean_reciprocal_rank_filtered_with_test,0.2161810307955517,27,ca9945b1,1024.0,Adagrad,0.5665211469987805,9.0,128.0,normal_,0.0029171141472166,-0.6517581727872974,lp,False,5.440113051058985e-17,0.000606465916348,0.2098921379074454,-0.0960905635729432,[],[],1.802087398245931
28,28,28,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,125,,,,mean_reciprocal_rank_filtered_with_test,0.1913462416684488,28,1ffd8703,256.0,Adam,0.0010421654012433,0.0,16.0,xavier_uniform_,0.0838262529612648,-0.1696775291197001,lp,True,0.015215183589742,7.47261543861474e-13,-0.3003262486308813,0.4148161737248301,[],[],9.337151618674396
29,29,29,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,150,,,,mean_reciprocal_rank_filtered_with_test,0.1933401890415597,29,6211f389,512.0,Adam,0.1096515481400903,5.0,256.0,uniform_,1.0217491396626956e-05,-0.4787935935586132,lp,True,9.738424093360217e-16,1.784276788420849e-17,-0.0612516179680824,-0.4228060431778431,[],[],5.714106988161802
30,30,30,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.2217344746890148,30,d21fcfb7,128.0,Adagrad,0.0116108816387776,7.0,64.0,normal_,0.0369820714588461,-0.9654537392234056,,False,8.230648977078117e-11,1.4804155453879405e-08,0.4647138388827443,0.1194613501429557,[],[],3.257162999361753
31,31,31,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2656785201917593,31,79514970,1024.0,Adam,0.0231061377200123,0.0,128.0,xavier_uniform_,0.0765708733457771,-0.127756912943432,lp,True,1.1717927130040365e-15,2.926723596798749e-07,0.3813542248681187,0.1332999812439084,[],[],8.476240132004023
32,32,32,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,60,,,,mean_reciprocal_rank_filtered_with_test,0.1845756171808169,32,07a7e81c,256.0,Adagrad,0.0022992475883243,9.0,32.0,normal_,0.0015423875938049,-0.6758159007272404,lp,False,5.188141292673746e-11,3.526286581506842e-16,-0.0975531265139579,-0.3153067966923117,[],[],1.009559128433466
33,33,33,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,215,,,,mean_reciprocal_rank_filtered_with_test,0.1956257546291346,33,7b356f94,512.0,Adagrad,0.3320109691225495,6.0,512.0,uniform_,0.0402749938621858,-0.9882298609075788,lp,False,8.816021871696148e-17,1.7744241899826468e-11,-0.3582341726869344,0.3387996535748243,[],[],3.929473990574479
34,34,34,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.2495344411623182,34,57ddd283,128.0,Adam,0.0005728411458149,5.0,64.0,xavier_normal_,1.900709678568072e-05,-0.4425493093589973,,True,0.0118589909277648,0.0144250813942804,0.1364202490076422,-0.1409236397594213,[],[],6.474294299259782
35,35,35,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,125,,,,mean_reciprocal_rank_filtered_with_test,0.2463910905866837,35,2bc1f671,512.0,Adagrad,0.0810613791656282,6.0,64.0,xavier_normal_,0.0036932683152577,-0.590176175808357,lp,True,7.856309711241618e-09,3.9744639639381983e-10,-0.2285581491887569,0.3877253457903862,[],[],3.7256343383342014
36,36,36,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.2419243265700741,36,38cb987d,128.0,Adam,0.0142816076350703,3.0,256.0,xavier_normal_,0.000111673760645,-0.1040672483862098,lp,False,4.35190192282513e-13,3.2951911532847457e-20,0.2650696346536279,-0.0699762888252735,[],[],6.182487728074193
37,37,37,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0488580839158736,37,ca370436,1024.0,Adam,0.4196605335134103,2.0,16.0,xavier_uniform_,0.8832461060967882,-0.2943949508036393,lp,False,3.332732164776058e-05,1.9012206626660245e-15,0.0023133335635066,0.0933470455929637,[],[],8.868027608841658
38,38,38,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.005102217962234,38,0798df5e,256.0,Adagrad,0.0012793002591855,9.0,256.0,uniform_,0.00030384555132,-0.777026812713882,,True,5.578983666695807e-19,2.341174352849432e-05,-0.4758115205913782,-0.3957151854410767,[],[],1.3330635242164135
39,39,39,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,60,,,,mean_reciprocal_rank_filtered_with_test,0.2387236130417735,39,94e57f50,512.0,Adam,0.0097182765726099,8.0,256.0,xavier_uniform_,0.0003926011387685,-0.8960534577524848,lp,False,2.423461932376511e-12,9.527832801661773e-19,0.3135972507297992,0.2057011108845472,[],[],2.728569218888879
40,40,40,58642027,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2023637574181993,40,1e9d6c17,128.0,Adagrad,0.0552721562999816,1.0,16.0,xavier_normal_,0.3290175942392317,-0.409515861737132,lp,True,3.410616164458553e-07,7.626149598247682e-10,-0.1606251737102866,-0.2734500970691442,[],[],5.194730469956994
41,41,41,58642027,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.196325164960258,41,deed7710,1024.0,Adagrad,0.0018809415394152,4.0,512.0,normal_,8.591296309530851e-05,-0.2233233541114069,,True,1.316259782382257e-20,4.789326290979488e-05,-0.4153248639777303,0.2501938091591,[],[],9.75527035072446
42,42,42,58642027,fb15k-237,complex,0,search,negative_sampling,valid,80,,,,mean_reciprocal_rank_filtered_with_test,0.1586768427430852,42,543f127a,256.0,Adam,0.6157730478394358,7.0,64.0,xavier_uniform_,0.0097453308546971,-0.7055255937636644,lp,False,6.097120049300847e-06,6.117174627938937e-14,0.0744004901498556,-0.1978256246075034,[],[],2.2109984047710896
43,43,43,58642027,fb15k-237,complex,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1138974770882342,43,fa83b0b2,1024.0,Adagrad,0.0043559739004801,4.0,32.0,uniform_,2.4802012381982752e-05,-0.3232822383514605,lp,False,1.1370702184280123e-09,2.8525065692170562e-18,-0.0445146290585398,0.460797700099647,[],[],7.588540073484182
44,44,44,58642027,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,185,,,,mean_reciprocal_rank_filtered_with_test,0.197674976497897,44,49972f1a,256.0,Adam,0.0436850903747391,5.0,512.0,xavier_normal_,0.0151937871474233,-0.8728685240051522,lp,True,1.2927636602663323e-14,3.5695467400135085e-08,0.4462297186255455,-0.0287908399477601,[],[],0.1320824585855007
45,45,45,58642027,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,215,,,,mean_reciprocal_rank_filtered_with_test,0.2005190511833476,45,048a34e6,512.0,Adam,0.0003025169738463,10.0,16.0,xavier_uniform_,0.0012016949716139,-0.5568078540144674,,True,0.001095300559811,0.0019577375682993,0.1931170020252466,0.0051683709025382,[],[],4.926997320726514
46,46,46,58642027,fb15k-237,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1984528849666738,46,1ee61af2,128.0,Adagrad,0.1756958985139142,1.0,128.0,xavier_normal_,0.2040430418517023,-0.0126555540005489,lp,False,4.120694523609712e-18,1.530313500235206e-13,-0.2818802753463387,-0.4530443139374256,[],[],7.461594240739942
47,47,47,58642027,fb15k-237,complex,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2804371446838466,47,2333cab0,512.0,Adagrad,0.5004042870934144,4.0,512.0,normal_,0.0054186296484749,-0.9168475445840694,,True,0.0504693192401949,3.9799097785420436e-17,0.4763899967074394,-0.3663039533421397,[],[],7.051180368289352
48,48,48,58642027,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,205,,,,mean_reciprocal_rank_filtered_with_test,0.2095385401072854,48,95eb9760,128.0,Adam,0.0009234476830356,7.0,32.0,uniform_,0.0001566317227499,-0.4023556497148424,lp,False,3.5567225220320953e-16,5.11387222582916e-07,-0.0026532439514994,0.1852736556902527,[],[],4.595833783969283
49,49,49,58642027,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,65,,,,mean_reciprocal_rank_filtered_with_test,0.1536632232187411,49,b7b95305,1024.0,Adam,0.1236788357952374,9.0,128.0,xavier_normal_,0.6297308153361383,-0.2148355364087409,lp,False,1.9385018533360443e-10,0.0325708218409814,-0.2651655534282326,-0.1616588179022073,[],[],0.3477941825985908
