job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,relational_tucker3.entity_embedder.regularize_weight,relational_tucker3.relation_embedder.regularize_weight,relational_tucker3.entity_embedder.dropout,relational_tucker3.relation_embedder.dropout
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0004538084695271,20,d8b9e795,256.0,Adam,0.26535433721733787,8.0,16.0,xavier_uniform_,7.636623127714728e-05,-0.7175245453486498,lp,False,0.0002993014822810302,1.2652122804766304e-05,-0.4548248490318656,0.35223912354558706
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.4252714032630191,21,7610a0b3,1024.0,Adam,0.005815907345390582,7.0,256.0,xavier_uniform_,0.023033041393819127,-0.9904835449375026,,False,8.78362691405437e-13,2.0124079933879267e-07,-0.015730292536318302,-0.26144193299114704
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.4526801313627843,22,00d9539b,128.0,Adagrad,0.0918361645000866,1.0,64.0,xavier_normal_,0.001229291695168947,-0.23497108418269075,lp,True,6.075402286353057e-11,1.2777432822264612e-14,0.4186676135286689,0.11219571903347969
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.2554848959513534,23,f82735b7,512.0,Adam,0.17306104580206277,2.0,64.0,normal_,0.0023820512965906236,-0.07946964466783213,lp,False,8.617544154004639e-06,6.373118556578366e-05,-0.42231613118201494,-0.4629585323855281
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.3179598099790911,24,66ec3ca2,256.0,Adagrad,0.0008688750320219194,5.0,256.0,xavier_normal_,0.0547683825115909,-0.8354703221857827,lp,True,3.2886639256752445e-18,1.0126492144796456e-16,0.012569579295814037,0.15944596286863089
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.3864122464928724,25,da6c88d8,1024.0,Adagrad,0.06581787413447192,10.0,32.0,xavier_normal_,0.00016608066158721102,-0.6244937982479669,lp,True,1.6284742210835361e-09,5.945479141800918e-15,0.45065705198794603,-0.18775935657322407
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,255,,,,mean_reciprocal_rank_filtered_with_test,0.4469709100893004,26,7c1a48d3,128.0,Adam,0.002509945900994084,3.0,128.0,xavier_uniform_,0.7177803650687552,-0.3687859025574661,,False,3.0415157850449564e-11,6.671219610075156e-08,-0.11116652470082045,0.4307555742561817
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,375,,,,mean_reciprocal_rank_filtered_with_test,0.3735412316017427,27,db97e6a6,1024.0,Adagrad,0.46110331393267007,9.0,256.0,normal_,1.0472802738902603e-05,-0.9321862767930981,lp,False,8.137966677566226e-19,0.0015259406107044238,0.15418601594865322,-0.08861851133406162
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,225,,,,mean_reciprocal_rank_filtered_with_test,0.3854782516891892,28,c4cb30cf,128.0,Adam,0.00047839100258204585,4.0,16.0,xavier_uniform_,0.08008304667350427,-0.18392935728601179,lp,True,0.00825831592399302,3.037257132960114e-20,-0.28252544440329075,0.28507542237639427
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,200,,,,mean_reciprocal_rank_filtered_with_test,0.3069010805596469,29,75fc4318,512.0,Adam,0.020344666683433783,0.0,512.0,uniform_,0.00024154097483985318,-0.39518815296022214,lp,True,2.0500680820648337e-15,2.5461985196263503e-11,-0.21963634341955185,-0.31340407859534025
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.4258411183668424,30,f55fb079,256.0,Adagrad,0.009263033768384152,7.0,64.0,xavier_normal_,0.0031743303370913127,-0.6430149629115872,,False,1.0188425334410314e-07,7.175016790766331e-09,0.3401067331433296,0.05636978056281805
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,85,,,,mean_reciprocal_rank_filtered_with_test,0.3449139327852051,31,9705c067,1024.0,Adam,0.04997255815654524,4.0,128.0,xavier_uniform_,0.0847035197086784,-0.12668868173160586,lp,True,6.116966803440006e-16,2.643136144452518e-10,0.2850932125002146,0.1523342840373516
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0297678932989594,32,41454a16,128.0,Adagrad,0.002970523853955094,8.0,32.0,xavier_normal_,2.0310325374539405e-05,-0.8822163415188435,lp,False,3.3002954182274614e-08,1.3201051840287668e-12,-0.15553212724626064,-0.47134978510439396
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.3881269843466752,33,8aa556f3,512.0,Adagrad,0.14918839118193516,8.0,512.0,normal_,0.006158349430014592,-0.671497321972549,lp,False,1.7801991997492872e-18,3.8208854312548726e-19,-0.34267355129122734,0.3766468307003379
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,285,,,,mean_reciprocal_rank_filtered_with_test,0.4529402851665499,34,57053420,256.0,Adam,0.0011669900312112676,0.0,64.0,xavier_normal_,0.0002552142665684372,-0.41531640855133534,,True,0.019822606912519483,0.013641856235989187,0.22098340466618538,-0.2431476814672351
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.4350372294336066,35,12322017,512.0,Adagrad,0.027222695214860947,5.0,64.0,xavier_normal_,0.029533534520208394,-0.8539163801601249,lp,True,5.776432951525446e-10,1.5266665833186334e-06,-0.014153153635561466,0.27668199595063925
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,195,,,,mean_reciprocal_rank_filtered_with_test,0.3950767039309698,36,02165fe2,256.0,Adam,0.00795202853181905,2.0,512.0,xavier_normal_,0.0021533519962571067,-0.10616299565670073,lp,False,8.287691789019751e-12,9.66490166739396e-14,0.42463117744773626,-0.09572801273316145
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.012708951865833,37,64b1f18c,1024.0,Adam,0.543411881578104,3.0,16.0,xavier_uniform_,0.6495380731895933,-0.31670655764717603,lp,False,2.2410276799053903e-05,6.784274792028338e-18,0.11274914536625147,0.0009792782366275787
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0006542100903228,38,c4b55130,128.0,Adagrad,0.0003618830316048579,9.0,256.0,uniform_,8.952393721379552e-05,-0.5650369026022032,,True,6.6402822233475314e-18,6.009685354121589e-06,-0.45297305192798376,-0.36751064844429493
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,275,,,,mean_reciprocal_rank_filtered_with_test,0.4255806829242542,39,023d307f,512.0,Adam,0.014286040216439764,8.0,256.0,xavier_uniform_,5.0373655253574355e-05,-0.7220018059133831,lp,False,1.2106592480776795e-12,7.382736223140255e-16,0.456164282746613,0.20375854428857565
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.3779800606151121,40,a6754aa4,256.0,Adagrad,0.02944965069937903,5.0,16.0,xavier_normal_,0.2991007445325125,-0.4741596777214948,lp,True,6.52778625535531e-11,8.263792448953967e-09,-0.10907011013478041,-0.41596252005547285
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0292162785187471,41,c2d53f30,1024.0,Adagrad,0.0007155021928191178,0.0,512.0,normal_,0.0009069109438870122,-0.2006609057299792,,True,5.858294401343477e-17,0.00012038920338928819,-0.4200060935690999,0.4481969512999058
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0004855867428613,42,96e93a9d,128.0,Adam,0.64728709349276,7.0,32.0,uniform_,0.01517770342686973,-0.9489026262046397,lp,False,0.00015305222555729367,1.907656081401347e-16,0.01829043310135603,-0.17541557736694813
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.008533213746807,43,eb55680e,1024.0,Adagrad,0.004704873067193773,1.0,64.0,uniform_,0.0006063219589525177,-0.25832144803595725,lp,False,9.633251753484756e-07,3.3566342034639553e-12,-0.2485882267355919,0.3281596712768078
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,165,,,,mean_reciprocal_rank_filtered_with_test,0.362512174843956,44,6c97643c,128.0,Adam,0.1314406447229626,6.0,256.0,xavier_normal_,0.01197743587596104,-0.5140141446940321,lp,True,1.945447927081651e-14,9.484821630356723e-10,0.31457997113466263,-0.040394166484475136
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.4080963436521506,45,d8c26556,512.0,Adam,0.0015763368658753588,10.0,16.0,xavier_uniform_,3.6128767128938915e-05,-0.7877494423145428,,True,0.0006218234589443348,0.0032044967965115844,0.12844563089311123,0.07261334266513586
