job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,conve.entity_embedder.regularize_weight,conve.relation_embedder.regularize_weight,conve.entity_embedder.dropout,conve.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,conve.feature_map_dropout,conve.projection_dropout,conve.convolution_bias
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.2518674704163102,35,691a19db,128.0,Adam,0.0039031890836624763,10.0,128.0,xavier_normal_,0.0013016418395120197,-0.4495979686788376,lp,True,1.0463326261853631e-10,0.0015014966293147628,0.004934640601277351,-0.2206129226833582,[],[],0.24296928849071264,0.1873607481829822,True
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2466520084830339,36,2bd558ce,512.0,Adagrad,0.03698826705191679,5.0,32.0,uniform_,0.03524288563930751,-0.6198800863207411,lp,False,3.6299467333497593e-19,7.617781653742098e-13,-0.4329738887026906,0.29212483391165733,[],[],0.37217570282518864,0.4329073275439441,False
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.2132927643596735,37,b5e4d07c,1024.0,Adam,0.5545348914410982,5.0,64.0,uniform_,0.42404821538354004,-0.06064495383656576,lp,True,2.1951385229989828e-15,8.321150597225186e-11,-0.17728376388549805,0.0481063649058342,[],[],0.10759448213502765,0.3264627419412136,True
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.2227396768962075,38,5dbdab03,256.0,Adagrad,0.0011506293122797392,1.0,512.0,normal_,0.00010941308821839062,-0.8835081978083681,,False,7.619157509825635e-05,4.6231138001953086e-20,0.26157295797020197,-0.49563725106418133,[],[],0.4804475181736052,0.07310223206877708,False
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.1309434562794054,39,7b34b8e0,256.0,Adam,0.1957484492568069,4.0,256.0,normal_,0.21039598521688188,-0.9639765404191054,,False,3.332356210290268e-14,5.807773731020252e-12,-0.46276617981493473,0.3669484769925475,[],[],0.14786791382357478,0.14574414817616343,False
1742b714,fb15k-237,conve,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.109308851604826,40,b4014cc8,1024.0,Adagrad,0.00043272194914352344,10.0,64.0,xavier_uniform_,1.2264255038354669e-05,-0.10717802932372311,lp,True,4.873827354537344e-06,0.04469728579400465,0.10113321896642447,-0.18461525719612837,[],[],0.2683029160834849,0.39225203124806285,True
1742b714,fb15k-237,conve,1,search,negative_sampling,valid,300,,,,mean_reciprocal_rank_filtered_with_test,0.218742105632485,41,73f406d4,512.0,Adam,0.010803444748074396,0.0,16.0,uniform_,0.000684614792251953,-0.540449362654928,lp,False,1.6398451010866756e-09,3.510558783468963e-19,0.3528868146240711,-0.4134970670565963,[],[],0.0015082387253642082,0.34830744564533234,False
1742b714,fb15k-237,conve,1,search,negative_sampling,valid,115,,,,mean_reciprocal_rank_filtered_with_test,0.2561289808775306,42,d923652c,128.0,Adagrad,0.09608723736763061,6.0,256.0,xavier_normal_,0.003811339225455034,-0.4060554983972572,lp,True,2.3980154218211455e-20,2.4936720758468514e-09,-0.21000383328646421,0.1070608077570796,[],[],0.37925792299211025,0.09398563206195831,True
1742b714,fb15k-237,conve,1,search,negative_sampling,valid,145,,,,mean_reciprocal_rank_filtered_with_test,0.259750838724337,43,817c25e9,128.0,Adam,0.002018977666884699,3.0,32.0,xavier_normal_,0.0025075853111190907,-0.7406396380518843,lp,False,1.4567490358005692e-17,0.0003015231225948277,-0.2540673390030861,-0.04573222529143095,[],[],0.46409754315391183,0.2610291875898838,True
1742b714,fb15k-237,conve,1,search,negative_sampling,valid,145,,,,mean_reciprocal_rank_filtered_with_test,0.2744179887991873,44,8ffa1bb6,512.0,Adagrad,0.8572454507243625,8.0,128.0,uniform_,0.015284799566566915,-0.31327219750487245,,True,5.027731166953652e-07,1.530735093373661e-14,0.18210669700056314,0.4727743109688163,[],[],0.09269408462569118,0.015488807111978531,False
1742b714,fb15k-237,conve,1,search,negative_sampling,valid,110,,,,mean_reciprocal_rank_filtered_with_test,0.1816971804159538,45,685b3af1,1024.0,Adam,0.018286303116510992,2.0,512.0,xavier_normal_,0.7798939400354886,-0.7540280186854769,lp,False,0.002495249921367189,1.0304001610417945e-06,0.4264467302709818,0.24853129219263792,[],[],0.3260409440845251,0.24498172802850604,True
1742b714,fb15k-237,conve,1,search,negative_sampling,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.040703658252691,46,9c88f6c1,256.0,Adagrad,0.002822637525707285,7.0,32.0,normal_,4.9705159871320635e-05,-0.1745627281757537,lp,True,8.613349482970086e-12,4.776826023036323e-17,-0.010736052878201008,-0.3014693846926093,[],[],0.19535441976040602,0.4983331779949367,False
1742b714,fb15k-237,conve,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1681237970487596,47,f659e56d,256.0,Adam,0.0003094595613894444,5.0,16.0,uniform_,0.04234894645412501,-0.4767524426654447,,False,0.00035032881190655795,2.995149974158013e-08,-0.3208340108394623,0.46324012987315655,[],[],0.33407788164913654,0.4690563133917749,True
1742b714,fb15k-237,conve,1,search,negative_sampling,valid,330,,,,mean_reciprocal_rank_filtered_with_test,0.3149395405617337,48,daf20245,1024.0,Adagrad,0.16928839401817,1.0,256.0,xavier_normal_,0.000764658646021623,-0.5923551172924879,lp,True,5.12669936982865e-15,5.842239616320237e-18,0.24106076452881098,-0.016178157180547714,[],[],0.2068474804982543,0.22341627394780517,False
1742b714,fb15k-237,conve,1,search,negative_sampling,valid,75,,,,mean_reciprocal_rank_filtered_with_test,0.1968480032123253,49,fe2a6ff6,512.0,Adam,0.12121991731135766,9.0,256.0,normal_,0.000130502645824836,-0.02566983634148723,lp,False,1.7053714166920522e-18,1.1386731253129166e-05,0.4922370333224535,-0.2606852054595947,[],[],0.4384510018862784,0.017360886558890343,True
