job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,distmult.entity_embedder.regularize_weight,distmult.relation_embedder.regularize_weight,distmult.entity_embedder.dropout,distmult.relation_embedder.dropout,KvsAll.label_smoothing
505815f9,wnrr,reciprocal_relations_model,1,search,KvsAll,valid,220,,,,mean_reciprocal_rank_filtered_with_test,0.390067556,29,e33f9e46,512,Adam,0.067136162,4,128,uniform_,1.41E-05,-0.443884392,lp,TRUE,2.52E-15,1.15E-14,-0.160334157,-0.224800214,-0.159037806
505815f9,wnrr,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.045593025,30,b776a46e,256,Adagrad,0.013695147,6,32,xavier_normal_,0.004996484,-0.948480049,lp,FALSE,2.44E-09,9.09E-10,0.466277852,0.020118807,0.074196466
505815f9,wnrr,distmult,0,search,KvsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.426469133,31,3c58e997,1024,Adam,0.039520233,2,512,xavier_uniform_,0.097406264,-0.184265053,lp,TRUE,7.42E-15,6.29E-11,0.377078573,0.125064613,-0.192272012
505815f9,wnrr,reciprocal_relations_model,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.022657821,32,b75ecd48,128,Adagrad,0.002972236,8,32,xavier_normal_,0.000190313,-0.672960735,,FALSE,6.00E-09,1.58E-15,-0.245581409,-0.112033614,0.03393101
505815f9,wnrr,reciprocal_relations_model,1,search,KvsAll,valid,175,,,,mean_reciprocal_rank_filtered_with_test,0.448236675,33,a4a8b7da,512,Adagrad,0.351623432,6,128,normal_,0.003725159,-0.969625118,lp,FALSE,6.37E-17,1.11E-16,-0.367392311,0.426470045,0.179874031
505815f9,wnrr,distmult,0,search,KvsAll,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.409664589,34,d1533a6c,256,Adam,0.000457694,4,64,xavier_normal_,1.88E-05,-0.481768185,lp,TRUE,0.000694017,0.013898741,0.001391939,-0.318468346,-0.039368632
505815f9,wnrr,distmult,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.402593564,35,a9f57cc4,512,Adagrad,0.054868187,7,32,uniform_,0.049942678,-0.604542999,lp,TRUE,8.35E-08,1.23E-08,-0.086922734,0.251277764,-0.134805466
505815f9,wnrr,reciprocal_relations_model,1,search,KvsAll,valid,65,,,,mean_reciprocal_rank_filtered_with_test,0.445505423,36,216cff42,256,Adam,0.012699686,2,128,xavier_normal_,9.02E-05,-0.100329284,,FALSE,3.00E-11,1.56E-13,0.281597465,-0.488185734,0.238982776
505815f9,wnrr,reciprocal_relations_model,1,search,KvsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.001286322,37,b1d7e819,1024,Adam,0.379331679,1,16,normal_,0.552545416,-0.303980358,lp,FALSE,4.03E-05,1.70E-19,0.159267779,0.052652675,0.091867854
505815f9,wnrr,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.001504043,38,3d679e7a,128,Adagrad,0.001521888,10,512,uniform_,0.003088781,-0.807568945,lp,TRUE,1.95E-20,4.28E-05,-0.463189187,-0.194589937,-0.288880766
