job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,transe.entity_embedder.regularize_weight,transe.relation_embedder.regularize_weight,transe.entity_embedder.dropout,transe.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,transe.l_norm,transe.entity_embedder.normalize.p,transe.relation_embedder.normalize.p
d78b5354,umls,transe,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.8103128444929064,45,a91d5531,256.0,Adam,0.0003427718129504311,10.0,32.0,xavier_uniform_,2.4517682536819316e-05,-0.7273492082905583,lp,True,3.7490030966717225e-10,0.0012902605152272004,0.16505397204309702,0.012784551829099655,[],[],1.0,2.0,-1.0
d78b5354,umls,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2303575152999784,46,8358f328,128.0,Adagrad,0.04969480481230978,0.0,256.0,xavier_normal_,0.08288750175588036,-0.05047323980174023,lp,False,3.471183159178158e-19,1.6680877051911671e-15,-0.30916914623230696,-0.28866359777748585,[],[],2.0,-1.0,2.0
a712f793,umls,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.6608830551428297,47,d365dc59,256.0,Adagrad,0.04430029478747102,5.0,256.0,xavier_normal_,0.00590965209069751,-0.8544946744732186,lp,True,7.271069753737944e-09,2.1420580781739352e-18,0.4075056929141283,-0.4105129614472389,[],[],2.0,2.0,-1.0
a712f793,umls,transe,0,search,negative_sampling,valid,95,,,,mean_reciprocal_rank_filtered_with_test,0.6822712904105157,48,8a8835a0,128.0,Adam,0.0018162225595380955,5.0,32.0,uniform_,0.0004939977557601381,-0.422250887934016,lp,False,2.5198528270209596e-20,1.686164796097475e-06,-0.051620760932564735,0.13951695896685123,[],[],1.0,-1.0,2.0
a712f793,umls,transe,0,search,negative_sampling,valid,245,,,,mean_reciprocal_rank_filtered_with_test,0.2992356657250527,49,ea1ccd9c,512.0,Adam,0.1991533332344073,8.0,256.0,xavier_normal_,0.6059182143857385,-0.17142586581035513,,False,0.0001612404631928756,0.029484511929291128,-0.25010702200233936,-0.23252684995532036,[],[],1.0,2.0,2.0
a712f793,umls,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.4781060716125863,50,7c313bb3,256.0,Adagrad,0.00819874908233907,2.0,32.0,xavier_uniform_,8.485858374493879e-05,-0.6141752384633384,lp,True,6.558328765014422e-16,3.429055498781569e-14,0.14603115059435368,0.44199964962899685,[],[],2.0,-1.0,-1.0
a712f793,umls,reciprocal_relations_model,1,search,negative_sampling,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.2996557270822349,51,806b17bf,512.0,Adam,0.11254792254604272,9.0,16.0,uniform_,0.1925339456128691,-0.2667068296616897,lp,True,3.5937072848020325e-17,4.811142587286977e-17,-0.14393367804586887,-0.048575716093182564,[],[],1.0,-1.0,2.0
a712f793,umls,transe,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.5999668331965347,52,001d5ea8,256.0,Adagrad,0.0007861574700054572,1.0,512.0,xavier_uniform_,1.0023658381233396e-05,-0.9477274383213091,lp,False,2.8660332740218097e-07,6.073812900027879e-10,0.25679932720959187,0.27660321816802025,[],[],2.0,2.0,-1.0
a712f793,umls,transe,0,search,negative_sampling,valid,90,,,,mean_reciprocal_rank_filtered_with_test,0.6746798088214149,53,498a21e0,256.0,Adagrad,0.5244651344189565,4.0,64.0,xavier_normal_,0.014855350376513412,-0.708567643782487,,False,7.884582331812068e-13,7.804148508398872e-05,0.04903596080839634,-0.3710778336971998,[],[],2.0,-1.0,-1.0
a712f793,umls,reciprocal_relations_model,1,search,negative_sampling,valid,95,,,,mean_reciprocal_rank_filtered_with_test,0.7726030408239072,54,7d99aa86,128.0,Adam,0.003647855166390296,6.0,128.0,normal_,0.002330280150886045,-0.014600096975173726,lp,True,0.007539440370308867,6.752472981369178e-12,-0.4137087631970644,0.07957400381565094,[],[],1.0,2.0,2.0
a712f793,umls,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1233671106443814,55,527d721b,512.0,Adagrad,0.00047957053985962404,6.0,128.0,normal_,0.0007804486892875398,-0.24071078550758773,lp,False,7.057859359277895e-08,3.186777747491052e-11,0.3742113448679447,-0.4523299438878894,[],[],1.0,2.0,-1.0
a712f793,umls,transe,0,search,negative_sampling,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.2126596134864479,56,07add710,256.0,Adam,0.06922373280189638,4.0,64.0,xavier_normal_,0.046350881338876104,-0.5440553330979683,lp,True,1.3510317364214458e-16,2.747399039883993e-18,-0.22914309799671173,0.22430274542421103,[],[],2.0,-1.0,2.0
a712f793,umls,transe,0,search,negative_sampling,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.6313929177500719,57,59de7263,512.0,Adam,0.005991761482373928,1.0,512.0,xavier_normal_,3.197243020641506e-05,-0.7997560260117054,lp,True,0.001822271871114531,4.981866500922622e-13,-0.4671797826886177,-0.13028553780168295,[],[],2.0,2.0,2.0
a712f793,umls,reciprocal_relations_model,1,search,negative_sampling,valid,120,,,,mean_reciprocal_rank_filtered_with_test,0.601147891553633,58,e8dddee5,128.0,Adagrad,0.8543954869582473,9.0,16.0,xavier_uniform_,0.06302135939085934,-0.4781087290690187,,False,2.972084658968412e-12,6.278200410027941e-06,0.07416294142603874,0.4217895371839404,[],[],1.0,-1.0,-1.0
a712f793,umls,reciprocal_relations_model,1,search,negative_sampling,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.4545999538679064,59,a12628bd,256.0,Adam,0.00108218031425798,0.0,32.0,xavier_normal_,0.00011522379469212086,-0.6371002249844652,lp,False,1.4583207955147228e-18,9.637667859766994e-08,-0.07529914379119873,-0.08868318516761065,[],[],2.0,-1.0,2.0
a712f793,umls,transe,0,search,negative_sampling,valid,160,,,,mean_reciprocal_rank_filtered_with_test,0.7916765271520322,60,e187256c,128.0,Adagrad,0.026182803380897443,10.0,256.0,xavier_uniform_,0.42620296559135856,-0.08497885527366766,lp,True,1.162371958524796e-10,1.1228522622949751e-19,0.4614793248474598,0.3596793571487069,[],[],1.0,2.0,-1.0
a712f793,umls,transe,0,search,negative_sampling,valid,370,,,,mean_reciprocal_rank_filtered_with_test,0.8242887719277224,61,5fd4ec16,512.0,Adagrad,0.01378723906942984,7.0,64.0,xavier_normal_,0.00035522353298049985,-0.32121715736404055,lp,True,3.805666337977669e-14,2.7560387262862148e-15,0.23076662048697472,-0.2661505499854684,[],[],1.0,-1.0,-1.0
a712f793,umls,reciprocal_relations_model,1,search,negative_sampling,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.4354307022562788,62,efa8b2d3,128.0,Adam,0.33762791924404945,3.0,128.0,normal_,0.00784246419988307,-0.8940826284610573,,False,2.5298987429258168e-06,0.0021773159574178767,-0.3690001294016838,0.05667805392295122,[],[],2.0,2.0,2.0
a712f793,umls,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2366299775480492,63,04107558,512.0,Adagrad,0.06348482086471283,8.0,128.0,xavier_normal_,3.325356479418899e-05,-0.7414125973255001,lp,True,4.002955497268174e-06,1.3909145924504244e-08,0.09205395076423883,-0.11164408177137375,[],[],2.0,-1.0,2.0
a712f793,umls,transe,0,search,negative_sampling,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.7607220140702885,64,dcaf063c,256.0,Adam,0.0004606808279612857,2.0,64.0,normal_,0.06125965559011636,-0.04330422128125089,lp,False,9.517443875508887e-14,1.7549306841176807e-20,-0.4490598840638995,0.33674182929098606,[],[],1.0,2.0,-1.0
a712f793,umls,transe,0,search,negative_sampling,valid,180,,,,mean_reciprocal_rank_filtered_with_test,0.5415445339460314,65,ae4b9fb1,512.0,Adam,0.7838037275645424,4.0,512.0,normal_,0.0008796868395986017,-0.3005307182384003,,False,3.8773939737905424e-11,1.138534867695835e-15,-0.24910840671509504,-0.3047669790685177,[],[],1.0,-1.0,-1.0
