,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout
20,20,20,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0010832623127419,20,88b39b18,256.0,Adam,0.2653543372173378,8.0,16.0,xavier_uniform_,7.636623127714728e-05,-0.7175245453486498,lp,False,0.000299301482281,1.2652122804766304e-05,-0.4548248490318656,0.352239123545587
21,21,21,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.3193989253635586,21,3330b0c8,1024.0,Adam,0.0058159073453905,7.0,256.0,xavier_uniform_,0.0230330413938191,-0.9904835449375026,,False,8.78362691405437e-13,2.012407993387927e-07,-0.0157302925363183,-0.261441932991147
22,22,22,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.3254700699048332,22,4b720b58,128.0,Adagrad,0.0918361645000866,1.0,64.0,xavier_normal_,0.0012292916951689,-0.2349710841826907,lp,True,6.075402286353057e-11,1.2777432822264612e-14,0.4186676135286689,0.1121957190334796
23,23,23,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.1643199789037995,23,1abde634,512.0,Adam,0.1730610458020627,2.0,64.0,normal_,0.0023820512965906,-0.0794696446678321,lp,False,8.617544154004639e-06,6.373118556578366e-05,-0.4223161311820149,-0.4629585323855281
24,24,24,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2549023326115626,24,b2b71804,256.0,Adagrad,0.0008688750320219,5.0,256.0,xavier_normal_,0.0547683825115909,-0.8354703221857827,lp,True,3.2886639256752445e-18,1.0126492144796455e-16,0.012569579295814,0.1594459628686308
25,25,25,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.2722916332513544,25,b942c7a9,1024.0,Adagrad,0.0658178741344719,10.0,32.0,xavier_normal_,0.0001660806615872,-0.6244937982479669,lp,True,1.628474221083536e-09,5.945479141800918e-15,0.450657051987946,-0.187759356573224
26,26,26,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,135,,,,mean_reciprocal_rank_filtered_with_test,0.3351127265558169,26,c3599c5a,128.0,Adam,0.002509945900994,3.0,128.0,xavier_uniform_,0.7177803650687552,-0.3687859025574661,,False,3.0415157850449564e-11,6.671219610075157e-08,-0.1111665247008204,0.4307555742561817
27,27,27,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,190,,,,mean_reciprocal_rank_filtered_with_test,0.3266761955998717,27,ec30de3c,1024.0,Adagrad,0.46110331393267,9.0,256.0,normal_,1.0472802738902605e-05,-0.932186276793098,lp,False,8.137966677566226e-19,0.0015259406107044,0.1541860159486532,-0.0886185113340616
28,28,28,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,195,,,,mean_reciprocal_rank_filtered_with_test,0.3010155191848446,28,c44936a1,128.0,Adam,0.000478391002582,4.0,16.0,xavier_uniform_,0.0800830466735042,-0.1839293572860117,lp,True,0.008258315923993,3.037257132960114e-20,-0.2825254444032907,0.2850754223763942
29,29,29,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,155,,,,mean_reciprocal_rank_filtered_with_test,0.2898232274290704,29,7fd28a84,512.0,Adam,0.0203446666834337,0.0,512.0,uniform_,0.0002415409748398,-0.3951881529602221,lp,True,2.0500680820648337e-15,2.5461985196263503e-11,-0.2196363434195518,-0.3134040785953402
30,30,30,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.3077002245508982,30,99071f80,256.0,Adagrad,0.0092630337683841,7.0,64.0,xavier_normal_,0.0031743303370913,-0.6430149629115872,,False,1.0188425334410314e-07,7.175016790766331e-09,0.3401067331433296,0.056369780562818
31,31,31,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,375,,,,mean_reciprocal_rank_filtered_with_test,0.2951408288334046,31,1fe96b34,1024.0,Adam,0.0499725581565452,4.0,128.0,xavier_uniform_,0.0847035197086784,-0.1266886817316058,lp,True,6.116966803440006e-16,2.643136144452517e-10,0.2850932125002146,0.1523342840373516
32,32,32,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2658063616071429,32,c845e5f4,128.0,Adagrad,0.002970523853955,8.0,32.0,xavier_normal_,2.0310325374539405e-05,-0.8822163415188435,lp,False,3.3002954182274614e-08,1.3201051840287668e-12,-0.1555321272462606,-0.4713497851043939
