job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,conve.entity_embedder.regularize_weight,conve.relation_embedder.regularize_weight,conve.entity_embedder.dropout,conve.relation_embedder.dropout,KvsAll.label_smoothing,conve.feature_map_dropout,conve.projection_dropout,conve.convolution_bias
db20bbe1,fb15k-237,conve,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0007734260635223,12,fd66a871,1024.0,Adagrad,0.0004274948385518571,2.0,64.0,xavier_normal_,0.03683270213736559,-0.4774818844642955,,True,3.301315523358029e-08,3.884437275524958e-15,0.4370782971382141,-0.33091649506241083,-0.05134787242859601,0.018683549482375383,0.20710290502756834,True
db20bbe1,fb15k-237,conve,1,search,KvsAll,valid,145,,,,mean_reciprocal_rank_filtered_with_test,0.1134917734285892,13,51028948,512.0,Adam,0.004636177647876128,9.0,16.0,uniform_,0.7699010579449299,-0.6977734883920382,lp,False,2.4279097851077366e-06,0.05509297392275685,0.1806463459506631,-0.09367277007550001,0.04662717506289482,0.12991635268554091,0.46634494280442595,True
db20bbe1,fb15k-237,conve,1,search,KvsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.3091696629063302,14,2070eb1c,256.0,Adagrad,0.09553322644475959,0.0,512.0,xavier_normal_,2.7823008112096465e-05,-0.017422968005808004,lp,True,4.508880373689368e-20,2.0778380916773143e-16,-0.351392044685781,0.4321844354271889,-0.2280480980873108,0.39984016492962837,0.030647984705865383,False
db20bbe1,fb15k-237,conve,1,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.1777220252575206,15,19d1e0d3,256.0,Adam,0.30725641513771845,2.0,128.0,xavier_normal_,0.01581799937862954,-0.3247891507053654,,False,0.0007776764335907842,0.0006931853793011731,-0.037995222955942154,-0.3730218419805169,-0.18618393782526255,0.3421017690561712,0.4457209180109203,False
db20bbe1,fb15k-237,conve,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0395360437050007,16,e0bb6b24,512.0,Adagrad,0.0018418253562410554,10.0,64.0,normal_,0.0003513583281605682,-0.8982071131502558,lp,True,1.4483622536874278e-17,4.9252947721816094e-18,0.4938972555100918,0.14903354085981846,0.14494859855622055,0.06460792571306229,0.010256652720272541,True
db20bbe1,fb15k-237,conve,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.168366851676112,17,03143661,1024.0,Adam,0.007146232700748116,4.0,16.0,xavier_normal_,1.1763115402664515e-05,-0.17740937842789106,lp,False,1.0969995492004253e-15,8.921869408823607e-10,0.24869580287486315,0.39616478234529495,-0.14022332467138768,0.20703735295683146,0.25303637562319636,True
db20bbe1,fb15k-237,conve,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2081138225780581,18,889a7f22,128.0,Adagrad,0.021996989500079646,7.0,512.0,uniform_,0.4751186510119157,-0.6083725915377307,lp,True,2.0425643235000386e-10,2.0866193727464105e-14,-0.28272281866520643,-0.11014353018254042,0.17223018296062947,0.44570493744686246,0.1893935138359666,False
db20bbe1,fb15k-237,conve,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2530551063052466,19,94c5aa34,128.0,Adam,0.0003256962846018079,0.0,16.0,uniform_,4.225392133158511e-05,-0.08805733547333627,lp,False,1.0954188620043052e-06,3.2528998380655437e-20,-0.195383389480412,0.017043789848685265,-0.03323612138628962,0.3770938762463629,0.17016778606921434,True
bb3b34de,fb15k-237,conve,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2989930295658682,20,85afa258,1024.0,Adagrad,0.37536250739594756,8.0,256.0,xavier_normal_,0.10042184893942387,-0.626445108144749,,True,4.178827118675934e-12,1.8665872834054065e-06,0.2726845545694232,-0.4883675994351506,0.29185430556535724,0.15455478709191084,0.3561243857257068,False
bb3b34de,fb15k-237,conve,1,search,KvsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.2668308472341032,21,43ab0c68,512.0,Adam,0.11723117003624153,4.0,256.0,normal_,0.003214330067239508,-0.4092549114865437,lp,False,1.5041156490785865e-18,7.42536444474787e-12,0.015932822600007057,-0.24331149365752935,-0.2872022559866309,0.008219020441174507,0.09881807956844568,False
bb3b34de,fb15k-237,conve,1,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.0301363581430888,22,e3677005,256.0,Adagrad,0.006256369341432827,6.0,64.0,xavier_uniform_,0.0013275947907239393,-0.867443410055507,lp,True,5.7393945995079774e-05,1.409998644795365e-07,-0.4526089783757925,0.27760282531380653,0.019062622077763103,0.2695843088440597,0.41392220882698894,True
bb3b34de,fb15k-237,conve,1,search,KvsAll,valid,95,,,,mean_reciprocal_rank_filtered_with_test,0.2116951782818292,23,992fe490,256.0,Adam,0.033332260438932095,9.0,32.0,uniform_,0.040145762815226936,-0.7671836855552532,lp,True,2.49794403063495e-20,8.115492228079469e-05,0.3500821301713586,-0.43203514255583286,-0.2104191306978464,0.3632592451758683,0.24372615572065115,True
bb3b34de,fb15k-237,conve,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2635153242621899,24,8304778a,512.0,Adagrad,0.013095035310143685,1.0,128.0,normal_,0.00044569302688811396,-0.4480318527409062,lp,False,1.467129031898846e-05,1.8135734471220647e-19,-0.18098410870879889,0.09278160613030195,0.10180098898708823,0.10899834055453539,0.3080785474739969,False
bb3b34de,fb15k-237,conve,1,search,KvsAll,valid,110,,,,mean_reciprocal_rank_filtered_with_test,0.2318478834741232,25,0b78b357,1024.0,Adam,0.0011497404391102894,5.0,512.0,uniform_,3.0555018296360305e-05,-0.7272236411861517,,True,1.8093646982214144e-08,2.5765327891282294e-08,-0.435767337679863,0.3302693823352456,-0.10637516621500254,0.2438518963754177,0.04969690274447203,False
bb3b34de,fb15k-237,conve,1,search,KvsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0330530972095986,26,ec4381a6,128.0,Adagrad,0.18000461475701507,3.0,32.0,uniform_,0.5888648566275584,-0.050775695890448946,lp,False,1.0626091089333135e-12,1.749250403747729e-13,0.09479428827762604,-0.1790444366633892,0.22451482694596053,0.4744385234080255,0.4844058542512357,True
bb3b34de,fb15k-237,conve,1,search,KvsAll,valid,245,,,,mean_reciprocal_rank_filtered_with_test,0.309954811359424,27,dce7c172,128.0,Adam,0.0034409392158443316,10.0,512.0,uniform_,0.00014365125425211877,-0.5070142452113051,lp,True,6.614311864365311e-14,5.4401130510589845e-17,0.38330559991300106,0.20989213790744543,-0.057654338143765915,0.4214523429982364,0.40597629314288497,False
bb3b34de,fb15k-237,conve,1,search,KvsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.178910607913637,28,43055aa0,1024.0,Adagrad,0.0779705794391976,1.0,16.0,xavier_uniform_,0.16313027113879264,-0.21533183603967532,lp,False,8.001169876391469e-10,0.015215183589742054,-0.08560670353472233,-0.3003262486308813,0.24888970423489803,0.17574421130120754,0.09113919641822577,True
bb3b34de,fb15k-237,conve,1,search,KvsAll,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.1684890264114628,29,9b54d884,512.0,Adam,0.6455725465086803,8.0,64.0,xavier_normal_,0.010692303300346703,-0.9981311625490803,lp,True,0.047144684415278026,9.738424093360217e-16,-0.328870409168303,-0.06125161796808243,-0.25368362590670585,0.03698455449193716,0.33279740950092673,True
