job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,transh.entity_embedder.regularize_weight,transh.relation_embedder.regularize_weight,transh.entity_embedder.dropout,transh.relation_embedder.dropout,transh.l_norm
1a72da45,umls,transh,1,search,1vsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.782213925,39,dc42b5bf,1024,Adam,0.379331679,1,16,normal_,0.552545416,-0.303980358,lp,FALSE,4.03E-05,1.70E-19,0.159267779,0.052652675,2
1a72da45,umls,reciprocal_relations_model,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.62077706,32,9c005a0e,128,Adagrad,0.001521888,10,512,uniform_,0.003088781,-0.807568945,lp,TRUE,1.95E-20,4.28E-05,-0.463189187,-0.194589937,1
1a72da45,umls,reciprocal_relations_model,0,search,1vsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.802659204,40,d9668778,512,Adam,0.008972927,9,256,xavier_uniform_,0.001170687,-0.931132006,,FALSE,3.85E-13,3.14E-11,0.347440307,0.209624548,1
1a72da45,umls,transh,0,search,1vsAll,valid,80,,,,mean_reciprocal_rank_filtered_with_test,0.461647549,41,8d073b71,256,Adagrad,0.106806624,1,16,xavier_normal_,0.288017449,-0.426566746,lp,TRUE,4.25E-07,1.26E-06,-0.025994178,-0.035216599,2
1a72da45,umls,transh,1,search,1vsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.619076547,42,37a60e57,1024,Adagrad,0.001297203,5,128,normal_,5.64E-05,-0.223835032,lp,TRUE,9.15E-19,1.80E-05,-0.400215961,0.470717208,2
1a72da45,umls,reciprocal_relations_model,0,search,1vsAll,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.792019803,44,9ed033d5,128,Adam,0.891718055,5,64,xavier_uniform_,0.022627061,-0.727072313,lp,FALSE,1.33E-05,1.42E-19,0.219281756,-0.266279959,1
1a72da45,umls,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.245239,43,ad79d575,1024,Adagrad,0.004481388,3,64,uniform_,3.02E-05,-0.358267086,,FALSE,1.08E-10,4.11E-14,-0.180563972,0.335913959,1
1a72da45,umls,transh,1,search,1vsAll,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.783663978,46,97c889ff,128,Adam,0.021627632,7,256,xavier_normal_,0.00821427,-0.847100692,lp,TRUE,2.68E-14,3.23E-09,0.439195884,-0.411444971,2
1a72da45,umls,transh,1,search,1vsAll,valid,80,,,,mean_reciprocal_rank_filtered_with_test,0.624281339,47,f9784738,512,Adam,0.000503932,10,16,xavier_uniform_,0.000503055,-0.549394932,lp,TRUE,0.045813482,0.002961709,0.065370815,0.097037141,2
1a72da45,umls,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.176174784,38,ce8df2d5,256,Adagrad,0.140376627,0,512,xavier_normal_,0.186556907,-0.061675684,lp,FALSE,1.49E-17,1.19E-17,-0.308264774,-0.14253886,1
1a72da45,umls,reciprocal_relations_model,0,search,1vsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.740238213,45,28b71ba7,512,Adagrad,0.51045725,4,256,xavier_normal_,0.029285273,-0.889343345,lp,TRUE,0.00543074,2.84E-15,0.494584044,-0.070103083,1
1a72da45,umls,transh,0,search,1vsAll,valid,190,,,,mean_reciprocal_rank_filtered_with_test,0.787890943,48,138247dd,256,Adam,0.001800987,6,64,uniform_,0.000153947,-0.378033887,lp,FALSE,5.05E-16,2.24E-10,-0.128102996,0.177128234,2
7ad53e47,umls,transh,0,search,,valid,190,,,,mean_reciprocal_rank_filtered_with_test,0.787890943,48,138247dd,1024,Adam,0.078761871,8,512,xavier_normal_,0.952947095,-0.205968191,,FALSE,7.69E-10,0.042633167,-0.250371684,-0.362722313,2
7ad53e47,umls,reciprocal_relations_model,0,search,,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.740238213,45,28b71ba7,128,Adagrad,0.0160555,2,32,xavier_uniform_,0.001790029,-0.71808588,lp,TRUE,9.44E-16,1.72E-16,0.118378589,0.37672989,1
7ad53e47,umls,reciprocal_relations_model,1,search,,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.176174784,38,ce8df2d5,1024,Adam,0.253371484,9,16,uniform_,0.056449103,-0.336974663,lp,TRUE,1.53E-19,1.91E-12,-0.032556925,-0.443935861,1
7ad53e47,umls,transh,0,search,1vsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.749347804,49,c1840334,128,Adagrad,0.000374286,0,256,xavier_uniform_,0.000328221,-0.83273557,lp,FALSE,0.000318636,7.67E-08,0.335997728,0.301022051,2
7ad53e47,umls,transh,1,search,1vsAll,valid,145,,,,mean_reciprocal_rank_filtered_with_test,0.86307858,51,e62f306f,512,Adagrad,0.030302549,3,32,xavier_normal_,0.006356183,-0.505157189,,FALSE,3.85E-12,0.000295897,0.214125753,-0.23652457,2
7ad53e47,umls,reciprocal_relations_model,1,search,1vsAll,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.818153709,54,f1e4cf88,256,Adam,0.002582561,8,128,normal_,1.10E-05,-0.008740637,lp,TRUE,1.06E-08,2.32E-18,-0.408304632,0.000593178,1
7ad53e47,umls,reciprocal_relations_model,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.792111918,53,d98bb9a6,1024,Adagrad,0.000727249,6,128,normal_,2.53E-05,-0.136208847,lp,FALSE,6.80E-06,1.79E-07,0.276930742,-0.017083099,1
7ad53e47,umls,transh,0,search,1vsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.801982482,56,f6949795,128,Adam,0.178683404,5,32,normal_,0.00978066,-0.631648965,lp,TRUE,4.64E-19,2.24E-12,-0.096477157,0.222496926,2
7ad53e47,umls,transh,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.698564026,55,25e4b226,512,Adam,0.006083652,1,256,xavier_normal_,0.000605433,-0.960146653,lp,TRUE,8.24E-07,1.18E-20,-0.470241214,-0.286965776,2
7ad53e47,umls,reciprocal_relations_model,1,search,1vsAll,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.819065492,50,a35becc4,256,Adagrad,0.02588371,8,16,xavier_uniform_,0.154929413,-0.463409074,,FALSE,7.58E-13,2.96E-06,0.149290953,0.460397177,1
7ad53e47,umls,reciprocal_relations_model,0,search,1vsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.798001997,57,db6e3e4e,512,Adam,0.000987663,0,32,xavier_normal_,0.000972213,-0.590677776,lp,FALSE,7.65E-18,1.03E-09,-0.188175632,-0.390747997,1
7ad53e47,umls,transh,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.249442048,52,e80c7070,256,Adagrad,0.771271801,10,512,xavier_uniform_,0.34663086,-0.079536521,lp,TRUE,0.023159831,2.60E-14,0.431550252,0.346222855,2
7ad53e47,umls,transh,1,search,1vsAll,valid,190,,,,mean_reciprocal_rank_filtered_with_test,0.813895009,59,3ba29fc3,1024,Adagrad,0.006397931,6,64,xavier_normal_,6.71E-05,-0.250560789,lp,TRUE,5.22E-14,6.73E-18,0.057267412,-0.160661195,2
7ad53e47,umls,reciprocal_relations_model,0,search,1vsAll,valid,165,,,,mean_reciprocal_rank_filtered_with_test,0.791786709,60,012600f7,128,Adam,0.086556884,3,128,normal_,0.019013322,-0.762846919,,FALSE,2.13E-10,0.000848256,-0.31639524,0.084153635,1
7ad53e47,umls,reciprocal_relations_model,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.711696882,61,2c181226,1024,Adagrad,0.190667134,8,128,xavier_normal_,0.000560911,-0.538506324,lp,TRUE,3.62E-10,2.40E-09,0.137224583,-0.433753717,1
7ad53e47,umls,transh,1,search,1vsAll,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.845222988,63,2f6e7345,128,Adam,0.00068154,2,32,normal_,0.139752869,-0.041860296,lp,FALSE,1.31E-13,6.03E-14,-0.490103872,0.32666754,2
7ad53e47,umls,transh,1,search,1vsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.749919821,58,c5f52861,512,Adam,0.027619117,4,256,normal_,2.70E-05,-0.370262614,,FALSE,0.009301198,1.60E-17,-0.115790543,-0.133352508,2
7ad53e47,umls,reciprocal_relations_model,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.791160069,65,c9c770f0,256,Adagrad,0.00570139,6,16,xavier_uniform_,0.010979727,-0.865794284,lp,TRUE,4.46E-18,0.002005884,0.265413644,0.119283913,1
7ad53e47,umls,reciprocal_relations_model,1,search,1vsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.847922483,67,8a08e2ad,512,Adam,0.724993291,3,16,xavier_normal_,6.29E-05,-0.235166144,lp,TRUE,1.81E-12,1.70E-06,-0.335595112,-0.060027754,1
7ad53e47,umls,transh,1,search,1vsAll,valid,150,,,,mean_reciprocal_rank_filtered_with_test,0.84394022,62,17387f01,256,Adagrad,0.001050708,7,512,xavier_uniform_,0.016951059,-0.747543826,lp,FALSE,1.48E-06,2.14E-11,0.045896252,0.203002616,2
7ad53e47,umls,transh,0,search,1vsAll,valid,200,,,,mean_reciprocal_rank_filtered_with_test,0.796394208,69,72c733ef,1024,Adagrad,0.081364157,10,64,normal_,0.001048321,-0.918480353,,FALSE,2.62E-19,1.05E-19,0.419629761,-0.259596024,2
7ad53e47,umls,reciprocal_relations_model,1,search,1vsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.687000251,66,c450b00f,128,Adam,0.006806245,1,256,uniform_,0.384966137,-0.407430649,lp,TRUE,2.82E-06,2.65E-05,-0.207924835,0.49558846,1
7ad53e47,umls,reciprocal_relations_model,0,search,1vsAll,valid,365,,,,mean_reciprocal_rank_filtered_with_test,0.792421774,64,493e0c7b,512,Adagrad,0.001915925,1,128,xavier_normal_,0.84887589,-0.283924945,lp,FALSE,2.67E-08,2.09E-13,0.106823429,-0.479121421,1
7ad53e47,umls,transh,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.608370588,68,ba2f58b4,256,Adam,0.479833861,9,64,uniform_,0.00167963,-0.795951081,lp,TRUE,6.53E-12,8.42E-09,-0.269753649,0.273646576,2
7ad53e47,umls,transh,0,search,1vsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.758867229,73,57ff7001,1024,Adam,0.017080356,5,512,normal_,0.032465614,-0.623980748,lp,TRUE,0.000186116,3.17E-05,-0.147912222,-0.217020723,2
7ad53e47,umls,reciprocal_relations_model,0,search,1vsAll,valid,60,,,,mean_reciprocal_rank_filtered_with_test,0.776523379,72,81202321,128,Adagrad,0.074035934,5,32,xavier_uniform_,0.000166166,-0.112579738,,FALSE,6.13E-20,2.50E-19,0.482601624,0.043528296,1
