job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,transe.entity_embedder.regularize_weight,transe.relation_embedder.regularize_weight,transe.entity_embedder.dropout,transe.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,train.loss_arg,transe.l_norm,transe.entity_embedder.normalize.p,transe.relation_embedder.normalize.p
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,130,,,,mean_reciprocal_rank_filtered_with_test,0.096547481209456,22,50d4ebf5,256.0,Adagrad,0.03619943533387099,4.0,32.0,uniform_,6.457749578511072e-05,-0.23545342156521043,lp,True,8.884649680214434e-05,7.429638107592067e-15,0.4647413417696953,0.08187624718993902,[],[],6.169884083792567,1.0,-1.0,-1.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,80,,,,mean_reciprocal_rank_filtered_with_test,0.1392675168635942,23,dd342f64,512.0,Adam,0.4593436658252465,3.0,32.0,normal_,0.00014090974768349727,-0.06255521330741232,lp,False,3.1107992447197184e-10,4.4873408940910434e-05,-0.4792524753138423,-0.23388586472719908,[],[],8.837816845625639,1.0,2.0,-1.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0340044450719097,24,0b1feea5,128.0,Adagrad,0.001272864383989425,7.0,128.0,uniform_,0.005534700927496265,-0.9910222761319392,lp,True,1.4520484192193305e-16,2.7055669179532253e-19,0.18937427271157503,0.18212823662906885,[],[],4.182341219857335,2.0,-1.0,2.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,355,,,,mean_reciprocal_rank_filtered_with_test,0.1321658301700171,25,27ba6a98,1024.0,Adagrad,0.02099165601679722,10.0,32.0,normal_,0.00026235568702876404,-0.6964012998145259,lp,True,5.38795344282135e-06,8.841431300557308e-14,0.4144723005592823,-0.37104718666523695,[],[],0.04166022874414921,1.0,-1.0,-1.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1332208768846236,26,ff75089f,256.0,Adam,0.003441225953098424,1.0,256.0,xavier_normal_,0.9147049366827054,-0.37487704984256065,,False,3.4655087438942603e-12,3.9285044443554535e-09,-0.12817788496613503,0.2958521628752351,[],[],5.322250295430422,2.0,2.0,2.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0260759208424668,27,610b8ee9,1024.0,Adagrad,0.1811338623066319,8.0,512.0,uniform_,0.00217230136977046,-0.8010267582538351,lp,False,9.340900939038413e-20,0.005556751789700356,0.01424315944314003,-0.44213641434907913,[],[],2.4539308436214924,2.0,-1.0,2.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.1056003297534395,28,81eed89d,256.0,Adam,0.0003094306271209726,2.0,16.0,xavier_uniform_,0.0588966291467895,-0.12792826154514214,lp,True,4.832428995110412e-07,2.936388327484809e-17,-0.2868642695248127,0.3923320434987545,[],[],7.1870355401188135,1.0,2.0,-1.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,115,,,,mean_reciprocal_rank_filtered_with_test,0.0577033050249946,29,8727bde7,512.0,Adam,0.0686602181375479,5.0,128.0,uniform_,1.2989086840954263e-05,-0.43475695914740675,lp,True,1.5836725734809277e-15,1.4343825422352306e-13,-0.07446107547730207,-0.07832106947898865,[],[],8.671354474499822,2.0,2.0,2.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1214632537380595,30,c293b97e,128.0,Adagrad,0.006610473243128556,5.0,64.0,normal_,0.03197139340958954,-0.511654782685712,,False,0.011782198068151686,1.0132086624636197e-08,0.35066979099065065,0.005079034715890884,[],[],3.3133642189204693,1.0,-1.0,-1.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,370,,,,mean_reciprocal_rank_filtered_with_test,0.256646277756986,31,2c54a695,1024.0,Adam,0.027313312602631628,2.0,256.0,uniform_,0.08398000239975191,-0.16559743175185282,lp,True,7.776081514431076e-16,5.969304722575186e-07,0.26364021096378565,0.12932489532977343,[],[],5.00675811432302,1.0,-1.0,-1.0
